feature_index,SPI-1,SPI-2,ks_statistic,n_CML,n_VAR(1)
187,cov_EmpiricalCovariance,sgc_parametric_max_fs-1_fmin-0_fmax-0-25_order-None,0.647052927614082,241,240
188,cov_EmpiricalCovariance,sgc_parametric_max_fs-1_fmin-0-25_fmax-0-5_order-None,0.3396050414814683,241,240
189,cov_EmpiricalCovariance,sgc_parametric_max_fs-1_fmin-1e-05_fmax-0-5_order-1,0.8301392045131688,241,240
190,cov_EmpiricalCovariance,sgc_parametric_max_fs-1_fmin-0_fmax-0-25_order-1,0.8302058955576721,241,240
191,cov_EmpiricalCovariance,sgc_parametric_max_fs-1_fmin-0-25_fmax-0-5_order-1,0.8499958828286833,241,240
192,cov_EmpiricalCovariance,sgc_parametric_max_fs-1_fmin-1e-05_fmax-0-5_order-20,0.49349651017767254,241,240
193,cov_EmpiricalCovariance,sgc_parametric_max_fs-1_fmin-0_fmax-0-25_order-20,0.5353352006246254,241,240
194,cov_EmpiricalCovariance,sgc_parametric_max_fs-1_fmin-0-25_fmax-0-5_order-20,0.2438136053963631,241,240
195,cov_EmpiricalCovariance,psi_wavelet_mean_fs-1_fmin-0_fmax-0-5_mean,0.040755417205704636,241,240
196,cov_EmpiricalCovariance,psi_wavelet_mean_fs-1_fmin-0_fmax-0-25_mean,0.01688648042266072,241,240
197,cov_EmpiricalCovariance,psi_wavelet_mean_fs-1_fmin-0-25_fmax-0-5_mean,0.04435166320688069,241,240
198,cov_EmpiricalCovariance,psi_wavelet_max_fs-1_fmin-0_fmax-0-5_max,0.04304677600568341,241,240
199,cov_EmpiricalCovariance,psi_wavelet_max_fs-1_fmin-0_fmax-0-25_max,0.02247999975602477,241,240
200,cov_EmpiricalCovariance,psi_wavelet_max_fs-1_fmin-0-25_fmax-0-5_max,0.03743533603677074,241,240
201,cov_EmpiricalCovariance,lmfit_Ridge,0.16817449993893846,241,240
202,cov_EmpiricalCovariance,lmfit_Lasso,0.23117403740924186,241,240
203,cov_EmpiricalCovariance,lmfit_SGDRegressor,0.1681816392490561,241,240
204,cov_EmpiricalCovariance,lmfit_ElasticNet,0.2276768591766306,241,240
205,cov_EmpiricalCovariance,lmfit_BayesianRidge,0.16816869396103462,241,240
206,cov_EmpiricalCovariance,coint_johansen_max_eig_stat_order-0_ardiff-10,0.4944168171017035,241,240
207,cov_EmpiricalCovariance,coint_johansen_trace_stat_order-0_ardiff-10,0.5223340487327848,241,240
208,cov_EmpiricalCovariance,coint_johansen_max_eig_stat_order-0_ardiff-1,0.5946889961686233,241,240
209,cov_EmpiricalCovariance,coint_johansen_trace_stat_order-0_ardiff-1,0.5853963896996727,241,240
210,cov_EmpiricalCovariance,coint_johansen_max_eig_stat_order-1_ardiff-10,0.49576943803981355,241,240
211,cov_EmpiricalCovariance,coint_johansen_trace_stat_order-1_ardiff-10,0.5213373043033134,241,240
212,cov_EmpiricalCovariance,coint_johansen_max_eig_stat_order-1_ardiff-1,0.5391800059010716,241,240
213,cov_EmpiricalCovariance,coint_johansen_trace_stat_order-1_ardiff-1,0.5531899535474771,241,240
214,cov_EmpiricalCovariance,coint_aeg_tstat_trend-c_autolag-aic_maxlag-10,0.254717362399152,241,240
215,cov_EmpiricalCovariance,coint_aeg_tstat_trend-ct_autolag-aic_maxlag-10,0.2992479313374638,241,240
216,cov_EmpiricalCovariance,coint_aeg_tstat_trend-ct_autolag-bic_maxlag-10,0.5143288807194847,241,240
217,cov_EmpiricalCovariance,pec,0.4747922972824934,241,240
218,cov_EmpiricalCovariance,pec_orth,0.8958751886349463,241,240
219,cov_EmpiricalCovariance,pec_log,0.47905745754637197,241,240
220,cov_EmpiricalCovariance,pec_orth_log,0.8845163596274327,241,240
221,cov_EmpiricalCovariance,pec_orth_abs,0.47930197451342926,241,240
222,cov_EmpiricalCovariance,pec_orth_log_abs,0.6789074554120312,241,240
223,cov_GraphicalLasso,cov_GraphicalLassoCV,0.8384064251846961,241,240
224,cov_GraphicalLasso,cov_LedoitWolf,0.530539908224787,241,240
225,cov_GraphicalLasso,cov_OAS,0.530539908224787,241,240
226,cov_GraphicalLasso,cov_ShrunkCovariance,0.530539908224787,241,240
227,cov_GraphicalLasso,cov-sq_EmpiricalCovariance,0.652813226583625,241,240
228,cov_GraphicalLasso,cov-sq_GraphicalLasso,0.6550839898503446,241,240
229,cov_GraphicalLasso,cov-sq_LedoitWolf,0.652813226583625,241,240
230,cov_GraphicalLasso,cov-sq_OAS,0.652813226583625,241,240
231,cov_GraphicalLasso,cov-sq_ShrunkCovariance,0.652813226583625,241,240
232,cov_GraphicalLasso,prec_EmpiricalCovariance,0.10554893307318824,241,240
233,cov_GraphicalLasso,prec_GraphicalLasso,0.09838477501134502,241,240
234,cov_GraphicalLasso,prec_LedoitWolf,0.1323924281729849,241,240
235,cov_GraphicalLasso,prec_OAS,0.13862195947518985,241,240
236,cov_GraphicalLasso,prec_ShrunkCovariance,0.1337348284724661,241,240
237,cov_GraphicalLasso,prec-sq_EmpiricalCovariance,0.23297254150241115,241,240
238,cov_GraphicalLasso,prec-sq_GraphicalLasso,0.25298535188424104,241,240
239,cov_GraphicalLasso,prec-sq_LedoitWolf,0.23478107348397115,241,240
240,cov_GraphicalLasso,prec-sq_OAS,0.23567957110774834,241,240
241,cov_GraphicalLasso,prec-sq_ShrunkCovariance,0.2775884992733385,241,240
242,cov_GraphicalLasso,spearmanr-sq,0.6241127560255199,241,240
243,cov_GraphicalLasso,spearmanr,0.24382131697939152,241,240
244,cov_GraphicalLasso,kendalltau-sq,0.6365408121146106,241,240
245,cov_GraphicalLasso,kendalltau,0.09725012313809356,241,240
246,cov_GraphicalLasso,xcorr_max_sig-True,0.7884487429129787,241,240
247,cov_GraphicalLasso,xcorr-sq_max_sig-True,0.6503648610597168,241,240
248,cov_GraphicalLasso,xcorr_mean_sig-True,0.15789828453432625,241,240
249,cov_GraphicalLasso,xcorr-sq_mean_sig-True,0.20405606137318716,241,240
250,cov_GraphicalLasso,xcorr_mean_sig-False,0.11014731851310072,241,240
251,cov_GraphicalLasso,xcorr-sq_mean_sig-False,0.19972773960926776,241,240
252,cov_GraphicalLasso,pdist_euclidean,0.5305399082247856,241,240
253,cov_GraphicalLasso,pdist_cityblock,0.4314797078821332,241,240
254,cov_GraphicalLasso,pdist_cosine,0.5305399082247856,241,240
255,cov_GraphicalLasso,pdist_chebyshev,0.5344283184009728,241,240
256,cov_GraphicalLasso,pdist_canberra,0.5790253996692866,241,240
257,cov_GraphicalLasso,pdist_braycurtis,0.4558711132038914,241,240
258,cov_GraphicalLasso,dcorr,0.6539942185488672,241,240
259,cov_GraphicalLasso,dcorr_biased,0.653851481216403,241,240
260,cov_GraphicalLasso,dcorrx_maxlag-1,0.6539421222004328,241,240
261,cov_GraphicalLasso,dcorrx_maxlag-10,0.5717526066480841,241,240
262,cov_GraphicalLasso,hsic,0.6378333331759514,241,240
263,cov_GraphicalLasso,hsic_biased,0.6373290938608738,241,240
